"POP_ID","Species","streamName","Latitude","Longitude","avgSpawners","nYears","quality","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
45137,"Sockeye","Craig River",56.69594601,-131.3067439,24.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,27,0,30,0,60,0,7,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45169,"Sockeye","Hackett River",58.26374657,-131.8121262,1184.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2309,1004,910,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45162,"Sockeye","Nahlin River",58.77672495,-132.0933965,1641.22222222222,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,2515,NA,297,2461,960,3710,2488,1857,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45156,"Sockeye","Nakina River",58.90428766,-133.1458912,423,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,704,337,499,1108,778,520,NA,15,141,98,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45490,"Sockeye","Porcupine River",57.06458095,-131.7451645,66.03125,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69,6,62,22,133,31,61,90,141,66,11,149,25,89,64,NA,NA,95,239,56,111,59,34,33,0,187,NA,15,151,22,NA,6,13,4,0
45495,"Sockeye","Scud River",57.28013729,-131.8231643,245.741935483871,31,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769,282,151,490,219,269,301,100,1242,321,292,260,351,271,246,301,NA,NA,216,76,262,124,288,17,41,45,300,NA,0,22,332,NA,16,5,9,NA
45487,"Sockeye","Stikine River",56.65763571,-131.8489365,77018.0512820513,39,2.27777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16608,30806,61072,19964,29307,38107,90617,30910,21023,22841,45099,22495,44879,65393,71792,34636,42850,45852,37436,19175,6384,53145,103755,68635,198575,183762,167570,194019,110132,74267,111780,116354,139541,95840,84380,122759,142334,164451,75159,NA,NA
45148,"Sockeye","Taku River",58.58141871,-133.6555912,113901.869565217,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113962,109563,100106,82136,79674,95263,96099,129493,137514,108625,102579,113739,92626,71086,74451,98107,NA,144286,135233,193390,127047,142155,167597,105012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45153,"Sockeye","Tatsatua River",58.53473781,-132.1429556,6536.57142857143,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12700,11368,2649,2063,3039,5706,8231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45135,"Sockeye","Tuya River",58.04071524,-130.8513656,10046.125,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,10239,7919,8531,3411,NA,NA,NA,NA,NA,3325,27664,18176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45141,"Sockeye","Verrett River",56.69779686,-130.9972443,153.4,30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,383,270,103,114,180,301,179,163,107,147,47,54,116,183,98,NA,NA,353,54,85,158,140,45,15,17,310,NA,NA,16,172,NA,46,57,49,NA
44650,"Sockeye","Verrett Sloughs",56.69486324,-130.980493,91.4761904761905,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,82,8,22,142,114,31,338,32,135,78,NA,NA,NA,NA,NA,NA,180,21,231,0,217,NA,NA,94,67,NA,6,17,38,NA
3339,"Sockeye","Alsek River",59.4439652,-137.9907846,84374.75,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95427,103507,83703,54862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44854,"Sockeye","Tatshenshini River",59.47055435,-137.7414747,756,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,NA,433,1689,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44861,"Sockeye","Village Creek",60.12637275,-137.0778338,2982.14285714286,28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490,1875,433,9569,7500,5670,11485,3135,4007,4041,1583,1900,826,NA,NA,NA,2765,4340,4256,1408,979,10254,NA,887,2305,355,1372,129,189,NA,410,240,97,NA
3444,"Sockeye","King Salmon Lake",58.71621714,-132.9435494,2627.13333333333,15,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2970,5005,1046,2177,NA,888,1100,2977,2899,6913,470,1061,1683,6404,439,3375,NA
